Event{id=970901707, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=10 11 2016 11:42:00}
Event{id=-1439914485, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:03:02}
Event{id=-328829254, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:12}
Event{id=1184465983, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:13}
Event{id=-2004315802, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:13}
Event{id=397100321, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:13}
Event{id=-912606869, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:13}
Event{id=-738609768, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:31}
Event{id=1790757847, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:31}
Event{id=-2001272603, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:31}
Event{id=2094365519, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:31}
Event{id=302139812, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:04:31}
Event{id=-1594767348, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:06:28}
Event{id=1877551166, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:06:28}
Event{id=-1028906641, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:06:28}
Event{id=1530946296, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:06:28}
Event{id=-1091560309, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:06:28}
Event{id=30422866, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:04}
Event{id=-1348977936, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:04}
Event{id=1123071715, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:04}
Event{id=51655448, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:04}
Event{id=-696403087, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:04}
Event{id=-627384578, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:16}
Event{id=1205818916, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:16}
Event{id=1369992410, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:16}
Event{id=-425028588, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:16}
Event{id=1079812840, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:08:16}
Event{id=817835820, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:10:18}
Event{id=611597357, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:10:18}
Event{id=-561829947, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:10:18}
Event{id=-2127318291, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:10:18}
Event{id=-998361639, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:10:18}
Event{id=-1633971391, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:27:32}
Event{id=14030689, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:27:32}
Event{id=-1412083955, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:27:33}
Event{id=2063997163, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:27:33}
Event{id=880242123, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:27:33}
Event{id=502593324, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:28:10}
Event{id=-1692879008, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:28:10}
Event{id=-1891246924, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:28:10}
Event{id=-719129892, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:28:10}
Event{id=284455103, message='Some default event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=11 11 2016 12:28:10}
Event{id=-21058767, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=13 11 2016 11:42:22}
Event{id=-1780754953, message='Some info event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=13 11 2016 11:42:22}
Event{id=1018331161, message='Some error event for user Vasiliy Greeting: Hello, I'm Vasia!', dateTime=13 11 2016 11:42:22}
Event{id=-1830946651, message='Some error event for user Vasiliy Greeting: null', dateTime=13 11 2016 11:46:10}
Event{id=-957691924, message='Some info event for user Vasiliy Greeting: null', dateTime=13 11 2016 11:46:10}
Event{id=300963, message='Some error event for user Vasiliy Greeting: null', dateTime=13 11 2016 11:46:10}
Event{id=-1395640395, message='Some error event for user Vasiliy Greeting: Vlad', dateTime=13 11 2016 11:46:24}
Event{id=340199388, message='Some info event for user Vasiliy Greeting: Vlad', dateTime=13 11 2016 11:46:24}
Event{id=1554825440, message='Some error event for user Vasiliy Greeting: Vlad', dateTime=13 11 2016 11:46:24}
